Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS,TIM1/2,TIM3/4/5,TIM8/9/10/11,I2C1/2/3,SPI1/2/3/4/5/6,SPI2/3/SAI1,SPI2/3/USART1/2/3,USART6/UART4/5/7/8,CAN1/2/TIM12/13/14/QUADSPI,QUADSPI/OTG1_FS,ETH,FMC/SDIO,DSIHOST,LCD,SYS,
PortA,PA0,,TIM2_CH1/TIM2_ETR,TIM5_CH1,,,,,,,,,,,,,,
PortA,PA1,,TIM2_CH2,TIM5_CH2,,,,,USART2_RTS,UART4_RX,,,,,,,EVENTOUT,ADC123_IN1
PortA,PA2,,TIM2_CH3,TIM5_CH3,TIM9_CH1,,,,USART2_TX,,,,,,,,EVENTOUT,ADC123_IN2
PortA,PA3,,,,,,,,,,,,,,,,,
PortA,PA4,,,,,,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,,,,,,,,EVENTOUT,ADC12_IN4
PortA,PA5,,TIM2_CH1/TIM2_ETR,,TIM8_CH1N,,SPI1_SCK,,,,,,,,,,EVENTOUT,ADC12_IN5
PortA,PA6,,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,,SPI1_MISO,,,,TIM13_CH1,,,,,,EVENTOUT,ADC12_IN6
PortA,PA7,,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,,SPI1_MOSI,,,,TIM14_CH1,,,,,,EVENTOUT,ADC12_IN7
PortA,PA8,MCO1,TIM1_CH1,,,I2C3_SCL,,,USART1_CK,,,,,,,,EVENTOUT,
PortA,PA9,,,,,,,,,,,OTG_FS_VBUS,,,,,,
PortA,PA10,,,,,,,,,,,OTG_FS_ID,,,,,,
PortA,PA11,,,,,,,,,,,OTG_FS_DM,,,,,,
PortA,PA12,,,,,,,,,,,OTG_FS_DP,,,,,,
PortA,PA13,JTMS/SWDIO,,,,,,,,,,,,,,,,
PortA,PA14,JTCK/SWCLK,,,,,,,,,,,,,,,,
PortA,PA15,,TIM2_CH1/TIM2_ETR,,,,SPI1_NSS,SPI3_NSS/I2S3_WS,,,,,,,,,EVENTOUT,
PortB,PB0,,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,,,,,,,,,,,,EVENTOUT,ADC12_IN8
PortB,PB1,,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,,,,,,,,,,,,EVENTOUT,ADC12_IN9
PortB,PB2,,,,,,,,,,,,,,,,,
PortB,PB3,,,,,,,I2S3_CK,,,,,,,,,,
PortB,PB4,,,TIM3_CH1,,,SPI1_MISO,SPI3_MISO,I2S3ext_SD,,,,,,,,EVENTOUT,
PortB,PB5,,,TIM3_CH2,,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,,,CAN2_RX,,,,,,EVENTOUT,
PortB,PB6,,,,,,,,,,,QUADSPI_BK1_NCS,,,,,,
PortB,PB7,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB8,,,TIM4_CH3,TIM10_CH1,I2C1_SCL,,,,,CAN1_RX,,,,,,EVENTOUT,
PortB,PB9,,,TIM4_CH4,TIM11_CH1,I2C1_SDA,SPI2_NSS/I2S2_WS,,,,CAN1_TX,,,,,,EVENTOUT,
PortB,PB10,,,,,,,,USART3_TX,,,,,,,,,
PortB,PB11,,,,,,,,USART3_RX,,,,,,,,,
PortB,PB12,,TIM1_BKIN,,,I2C2_SMBA,SPI2_NSS/I2S2_WS,,,,CAN2_RX,,,,,,EVENTOUT,
PortB,PB13,,TIM1_CH1N,,,,SPI2_SCK/I2S2_CK,,,,CAN2_TX,,,,,,EVENTOUT,
PortB,PB14,,TIM1_CH2N,,TIM8_CH2N,,SPI2_MISO,I2S2ext_SD,,,TIM12_CH1,,,,,,EVENTOUT,
PortB,PB15,RTC_REFIN,TIM1_CH3N,,TIM8_CH3N,,SPI2_MOSI/I2S2_SD,,,,TIM12_CH2,,,,,,EVENTOUT,
PortC,PC0,,,,,,,,,,,,,FMC_SDNWE,,,,
PortC,PC1,,,,,,SPI2_MOSI/I2S2_SD,SAI1_SD_A,,,,,,,,,EVENTOUT,ADC123_IN11
PortC,PC2,,,,,,SPI2_MISO,I2S2ext_SD,,,,,,,,,EVENTOUT,ADC123_IN12
PortC,PC3,,,,,,SPI2_MOSI/I2S2_SD,,,,,,,,,,EVENTOUT,ADC123_IN13
PortC,PC4,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN14
PortC,PC5,,,,,,,,,,,,,,,,EVENTOUT,ADC12_IN15
PortC,PC6,,,TIM3_CH1,TIM8_CH1,,I2S2_MCK,,,USART6_TX,,,,,,,EVENTOUT,
PortC,PC7,,,TIM3_CH2,TIM8_CH2,,,I2S3_MCK,,USART6_RX,,,,,,,EVENTOUT,
PortC,PC8,,,,,,,,,,,,,SDIO_D0,,,,
PortC,PC9,,,,,,,,,,,,,SDIO_D1,,,,
PortC,PC10,,,,,,,,,,,,,SDIO_D2,,,,
PortC,PC11,,,,,,,,,,,,,SDIO_D3,,,,
PortC,PC12,,,,,,,,,,,,,SDIO_CK,,,,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC14,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC15,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD0,,,,,,,,,,,,,FMC_D2,,,,
PortD,PD1,,,,,,,,,,,,,FMC_D3,,,,
PortD,PD2,,,,,,,,,,,,,SDIO_CMD,,,,
PortD,PD3,,,,,,SPI2_SCK/I2S2_CK,,USART2_CTS,,,,,,,,EVENTOUT,
PortD,PD4,,,,,,,,,,,,,,,,,
PortD,PD5,,,,,,,,,,,,,,,,,
PortD,PD6,,,,,,I2S3_SD,,,,,,,,,,,
PortD,PD8,,,,,,,,,,,,,FMC_D13,,,,
PortD,PD9,,,,,,,,,,,,,FMC_D14,,,,
PortD,PD10,,,,,,,,,,,,,FMC_D15,,,,
PortD,PD12,,,TIM4_CH1,,,,,,,,,,,,,,
PortD,PD13,,,TIM4_CH2,,,,,,,,,,,,,,
PortD,PD14,,,,,,,,,,,,,FMC_D0,,,,
PortD,PD15,,,,,,,,,,,,,FMC_D1,,,,
PortE,PE0,,,,,,,,,,,,,FMC_NBL0,,,,
PortE,PE1,,,,,,,,,,,,,FMC_NBL1,,,,
PortE,PE2,,,,,,,,,,,,,,,,,
PortE,PE3,,,,,,,,,,,,,,,,,
PortE,PE4,,,,,,,SAI1_FS_A,,,,,,,,,,
PortE,PE5,,,,,,,SAI1_SCK_A,,,,,,,,,,
PortE,PE6,,,,,,,SAI1_SD_A,,,,,,,,,,
PortE,PE7,,,,,,,,,,,,,FMC_D4,,,,
PortE,PE8,,,,,,,,,,,,,FMC_D5,,,,
PortE,PE9,,,,,,,,,,,,,FMC_D6,,,,
PortE,PE10,,,,,,,,,,,,,FMC_D7,,,,
PortE,PE11,,,,,,,,,,,,,FMC_D8,,,,
PortE,PE12,,,,,,,,,,,,,FMC_D9,,,,
PortE,PE13,,,,,,,,,,,,,FMC_D10,,,,
PortE,PE14,,,,,,,,,,,,,FMC_D11,,,,
PortE,PE15,,,,,,,,,,,,,FMC_D12,,,,
PortF,PF0,,,,,,,,,,,,,FMC_A0,,,,
PortF,PF1,,,,,,,,,,,,,FMC_A1,,,,
PortF,PF2,,,,,,,,,,,,,FMC_A2,,,,
PortF,PF3,,,,,,,,,,,,,FMC_A3,,,,
PortF,PF4,,,,,,,,,,,,,FMC_A4,,,,
PortF,PF5,,,,,,,,,,,,,FMC_A5,,,,
PortF,PF6,,,,,,,,,,QUADSPI_BK1_IO3,,,,,,,
PortF,PF7,,,,,,,,,,QUADSPI_BK1_IO2,,,,,,,
